experiment,subject,baseline,family,volume,width,metric,value,note
width,width-5,polyframes,none,,5,compile-ms,752,
width,width-10,polyframes,none,,10,compile-ms,735,
width,width-20,polyframes,none,,20,compile-ms,849,
width,width-40,polyframes,none,,40,compile-ms,1542,
width,width-80,polyframes,none,,80,compile-ms,10258,
error-prevention,p1,polyframes,none,,,compiles,true,
error-prevention,p1,polyframes,none,,,compile-ms,1625,median of 4 runs
error-prevention,p1-dataframe,dataframe,none,,,compiles,true,
error-prevention,p1-dataframe,dataframe,none,,,compile-ms,337,median of 4 runs
error-prevention,p1-dataset,dataset,none,,,compiles,true,
error-prevention,p1-dataset,dataset,none,,,compile-ms,959,median of 4 runs
error-prevention,pf-noattr,polyframes,noattr,,,compiles,false,"could not find implicit value for parameter reduce: polyframes.infer.Project.Aux[shapeless.labelled.FieldType[String(""code""),String] :: shapeless.labelled.FieldType[String(""product_type""),String] :: shapeless.labelled.FieldType[String(""nutriscore_grade""),String] :: shapeless.labelled.FieldType[String(""pnns_groups_1""),String] :: shapeless.labelled.FieldType[String(""completeness""),Double] :: shapeless.labelled.FieldType[String(""countries_tags""),List[String]] :: shapeless.labelled.FieldType[""nutriments"",shapeless.labelled.FieldType[String(""energy-kcal_100g""),Double] :: shapeless.labelled.FieldType[String(""fat_100g""),Double] :: shapeless.labelled.FieldType[String(""carbohydrates_100g""),Double] :: shapeless.labelled.FieldType[String(""proteins""),Double] :: shapeless.labelled.FieldType[String(""salt""),Double] :: shapeless.labelled.FieldType[""carb_share"",Double] :: shapeless.HNil] :: shapeless.labelled.FieldType[""is_beverage"",Boolean] :: shapeless.HNil,(""cod"" :: shapeless.HNil) :: (""nutriscore_grade"" :: shapeless.HNil) :: shapeless.HNil,NS] (PolyFrames: the paths (""cod"" :: shapeless.HNil) :: (""nutriscore_grade"" :: shapeless.HNil) :: shapeless.HNil cannot be projected from the schema"
error-prevention,pf-noattr,polyframes,noattr,,,compile-ms,499,median of 4 runs
error-prevention,pf-badtype,polyframes,badtype,,,compiles,false,type mismatch;
error-prevention,pf-badtype,polyframes,badtype,,,compile-ms,360,median of 4 runs
error-prevention,pf-badmodel,polyframes,badmodel,,,compiles,false,type mismatch;
error-prevention,pf-badmodel,polyframes,badmodel,,,compile-ms,281,median of 4 runs
error-prevention,pf-badtransfo,polyframes,badtransfo,,,compiles,false,PolyFrames: the schema
error-prevention,pf-badtransfo,polyframes,badtransfo,,,compile-ms,281,median of 4 runs
error-prevention,df-noattr,dataframe,noattr,,,compiles,true,
error-prevention,df-noattr,dataframe,noattr,,,compile-ms,140,median of 4 runs
error-prevention,df-badtype,dataframe,badtype,,,compiles,true,
error-prevention,df-badtype,dataframe,badtype,,,compile-ms,122,median of 4 runs
error-prevention,df-badmodel,dataframe,badmodel,,,compiles,true,
error-prevention,df-badmodel,dataframe,badmodel,,,compile-ms,104,median of 4 runs
error-prevention,df-badtransfo,dataframe,badtransfo,,,compiles,true,
error-prevention,df-badtransfo,dataframe,badtransfo,,,compile-ms,92,median of 4 runs
error-prevention,ds-noattr,dataset,noattr,,,compiles,false,value cod is not a member of polyframes.bench.P1Dataset.ProductBeverage
error-prevention,ds-noattr,dataset,noattr,,,compile-ms,136,median of 4 runs
error-prevention,ds-badtype,dataset,badtype,,,compiles,false,type mismatch;
error-prevention,ds-badtype,dataset,badtype,,,compile-ms,99,median of 4 runs
error-prevention,ds-badmodel,dataset,badmodel,,,compiles,true,
error-prevention,ds-badmodel,dataset,badmodel,,,compile-ms,182,median of 4 runs
error-prevention,ds-badtransfo,dataset,badtransfo,,,compiles,true,
error-prevention,ds-badtransfo,dataset,badtransfo,,,compile-ms,172,median of 4 runs
error-prevention,p2,polyframes,none,,,compiles,true,
error-prevention,p2,polyframes,none,,,compile-ms,498,median of 4 runs
error-prevention,p2-dataframe,dataframe,none,,,compiles,true,
error-prevention,p2-dataframe,dataframe,none,,,compile-ms,87,median of 4 runs
error-prevention,p2-dataset,dataset,none,,,compiles,true,
error-prevention,p2-dataset,dataset,none,,,compile-ms,396,median of 4 runs
error-prevention,pf2-noattr,polyframes,noattr,,,compiles,false,"could not find implicit value for parameter reduce: polyframes.infer.Project.Aux[shapeless.labelled.FieldType[String(""grade_code""),String] :: shapeless.labelled.FieldType[String(""grade_label""),String] :: shapeless.labelled.FieldType[""grade_rank"",Double] :: shapeless.labelled.FieldType[""barcode"",String] :: shapeless.labelled.FieldType[String(""product_type""),String] :: shapeless.labelled.FieldType[String(""nutriscore_grade""),String] :: shapeless.labelled.FieldType[String(""pnns_groups_1""),String] :: shapeless.labelled.FieldType[String(""completeness""),Double] :: shapeless.labelled.FieldType[String(""countries_tags""),List[String]] :: shapeless.labelled.FieldType[""nutriments"",shapeless.labelled.FieldType[String(""energy-kcal_100g""),Double] :: shapeless.labelled.FieldType[String(""fat_100g""),Double] :: shapeless.labelled.FieldType[String(""carbohydrates_100g""),Double] :: shapeless.labelled.FieldType[String(""proteins""),Double] :: shapeless.labelled.FieldType[""carb_share"",Double] :: shapeless.HNil] :: shapeless.labelled.FieldType[""well_rated"",Boolean] :: shapeless.HNil,(""barcode"" :: shapeless.HNil) :: (""grade_labell"" :: shapeless.HNil) :: shapeless.HNil,NS] (PolyFrames: the paths (""barcode"" :: shapeless.HNil) :: (""grade_labell"" :: shapeless.HNil) :: shapeless.HNil cannot be projected from the schema"
error-prevention,pf2-noattr,polyframes,noattr,,,compile-ms,442,median of 4 runs
error-prevention,pf2-badtype,polyframes,badtype,,,compiles,false,type mismatch;
error-prevention,pf2-badtype,polyframes,badtype,,,compile-ms,345,median of 4 runs
error-prevention,pf2-badmodel,polyframes,badmodel,,,compiles,false,type mismatch;
error-prevention,pf2-badmodel,polyframes,badmodel,,,compile-ms,455,median of 4 runs
error-prevention,pf2-badtransfo,polyframes,badtransfo,,,compiles,false,PolyFrames: the schema
error-prevention,pf2-badtransfo,polyframes,badtransfo,,,compile-ms,361,median of 4 runs
error-prevention,df2-noattr,dataframe,noattr,,,compiles,true,
error-prevention,df2-noattr,dataframe,noattr,,,compile-ms,74,median of 4 runs
error-prevention,df2-badtype,dataframe,badtype,,,compiles,true,
error-prevention,df2-badtype,dataframe,badtype,,,compile-ms,74,median of 4 runs
error-prevention,df2-badmodel,dataframe,badmodel,,,compiles,true,
error-prevention,df2-badmodel,dataframe,badmodel,,,compile-ms,75,median of 4 runs
error-prevention,df2-badtransfo,dataframe,badtransfo,,,compiles,true,
error-prevention,df2-badtransfo,dataframe,badtransfo,,,compile-ms,82,median of 4 runs
error-prevention,ds2-noattr,dataset,noattr,,,compiles,false,value grade_labell is not a member of polyframes.bench.P2Dataset.Rated
